id;order_id;customer_name;phone_number;create_date;create_name;expiration_date
1;78331;GB hierarchy;Bedfordshire Kyat Knoll;2022-09-10T14:18:43;indexing;2022-09-11T05:44:06
2;65162;Argentina;modular;2022-09-11T05:40:49;Aruba Squares Data;2022-09-11T05:42:48
3;84031;digital;mission-critical Montana Mission;2022-09-11T02:10:37;bandwidth;2022-09-11T03:43:15
4;39085;e-services Uzbekistan;innovative;2022-09-11T01:50:48;Regional;2022-09-11T00:54:02
5;20747;up;Baby;2022-09-10T23:57:03;payment solid;2022-09-11T03:46:28
6;24744;feed AGP;SMTP sensor;2022-09-10T16:12:11;Pre-emptive cyan encompassing;2022-09-11T01:10:07
7;29231;Sum auxiliary;program alarm;2022-09-10T15:34:57;IB support Chicken;2022-09-10T10:31:18
8;90908;programming Grass-roots Focused;Cross-platform;2022-09-11T05:48:32;Games;2022-09-10T10:24:30
9;87673;payment Analyst Handmade;Rubber Usability drive;2022-09-10T07:56:08;Borders Carolina standardization;2022-09-10T15:58:05
10;46886;orange;Account;2022-09-11T05:24:58;Chief solution;2022-09-11T04:30:15
